text,mood
Me siento normal,Ni fu ni fa
Me siento aburrido,Ni fu ni fa
Estoy aburrido,Ni fu ni fa
Estoy tranquilo,Ni fu ni fa
No tengo ganas de nada en particular,Ni fu ni fa
No tengo ganas de algo en particular,Ni fu ni fa
Estoy como siempre,Ni fu ni fa
No siento nada especial,Ni fu ni fa
Estoy indiferente,Ni fu ni fa
"Estoy bien, ni feliz ni triste",Ni fu ni fa
No ha pasado nada relevante hoy,Ni fu ni fa
Hoy no ha sido ni bueno ni malo,Ni fu ni fa
"Me siento neutral, sin mucho que decir",Ni fu ni fa
Hoy es un día tranquilo y sin muchas sorpresas.,Ni fu ni fa
Es un día normal sin nada especial que resaltar,Ni fu ni fa
"No hay mucho que destacar, simplemente fue un día más.",Ni fu ni fa
"Hoy fue un día sin altibajos, bastante neutro.",Ni fu ni fa
"Fue un día más, igual que cualquier otro.",Ni fu ni fa
Ha sido una jornada tranquila y sin muchas novedades.,Ni fu ni fa
"Día normal, sin nada relevante que mencionar.",Ni fu ni fa
Hoy no ha habido nada fuera de lo común.,Ni fu ni fa
Hoy fue uno de esos días que pasan sin mucho que contar.,Ni fu ni fa
Cada parte del día ha sido bastante predecible,Ni fu ni fa
Todo transcurrió sin sorpresas ni cambios.,Ni fu ni fa
Ha sido un día sin altibajos ni emociones fuertes.,Ni fu ni fa
"Día tranquilo, sin mucho que contar.",Ni fu ni fa
"Un día como cualquier otro, sin novedades.",Ni fu ni fa
Nada fuera de lo ordinario ha ocurrido hoy.,Ni fu ni fa
Hoy fue un día sin sorpresas ni eventos especiales,Ni fu ni fa
"No hubo nada sobresaliente, simplemente otro día.",Ni fu ni fa
Un día sin grandes cambios o emociones.,Ni fu ni fa
Fue un día tranquilo y sin emociones fuertes,Ni fu ni fa
"Día sin novedades, como cualquier otro.",Ni fu ni fa
La jornada pasó sin mucho que destacar.,Ni fu ni fa
Hoy no hubo sorpresas ni grandes emociones.,Ni fu ni fa
"Fue un día normal, nada fuera de lo común",Ni fu ni fa
Día sencillo y sin novedades.,Ni fu ni fa
"Hoy no pasó nada interesante, solo un día más",Ni fu ni fa
No sucedió nada especial en la jornada de hoy.,Ni fu ni fa
"Un día sin grandes altibajos, bastante predecible.",Ni fu ni fa
"Día como cualquier otro, sin cambios.",Ni fu ni fa
Todo fue bastante monótono hoy.,Ni fu ni fa
"Fue un día común, sin novedades en el trabajo",Ni fu ni fa
"Hoy no hubo grandes novedades, todo normal.",Ni fu ni fa
Es otro día más sin nada relevante.,Ni fu ni fa
No hay nada importante que mencionar hoy,Ni fu ni fa
Pasé el día sin eventos destacables.,Ni fu ni fa
Me siento bien,Alegría
Me siento feliz,Alegría
Estoy contenta,Alegría
Estoy animado,Alegría
Me siento con animos,Alegría
Fue un día bonito,Alegría
Me siento muy bien,Alegría
Estoy de buen humor,Alegría
Me siento feliz y agradecido por la vida.,Alegría
Hoy fue un día maravilloso lleno de risas y alegría,Alegría
Me encanta cómo todo parece perfecto en este momento.,Alegría
Hoy logré todo lo que me propuse. ¡Qué satisfacción!,Alegría
Siento una energía positiva y renovada en mi vida,Alegría
"Hoy fue un día perfecto, lleno de luz y felicidad.",Alegría
Estoy tan agradecido por la gente que me rodea.,Alegría
Me siento en paz y lleno de alegría.,Alegría
Hoy el sol brilla más fuerte y todo parece mejor,Alegría
Estoy tan emocionado por las posibilidades del futuro.,Alegría
Me siento agradecido por cada momento que vivo.,Alegría
Hoy fue uno de esos días que quiero recordar siempre.,Alegría
Estoy lleno de esperanza y positividad,Alegría
Hoy fue uno de esos días donde todo parece posible.,Alegría
La felicidad que siento no la cambiaría por nada.,Alegría
Hoy todo es color y alegría.,Alegría
Estoy tan agradecido por los pequeños momentos.,Alegría
Hoy el mundo parece un lugar lleno de posibilidades,Alegría
Me siento lleno de amor y gratitud.,Alegría
Siento una paz interior que no había sentido antes.,Alegría
Hoy es un día increíble y lleno de sorpresas,Alegría
Estoy muy feliz por todo lo que tengo,Alegría
Cada momento del día ha sido perfecto.,Alegría
La vida es maravillosa y me siento muy bien.,Alegría
Siento que puedo hacer cualquier cosa hoy.,Alegría
Aprecio cada instante con mucha alegría.,Alegría
Este ha sido un día especial y lleno de amor.,Alegría
Siento una energía positiva que me llena.,Alegría
Hoy fue uno de esos días que iluminan el alma,Alegría
Cada cosa parece encajar en su lugar hoy,Alegría
"Estoy rodeado de gente increíble, ¡qué suerte!",Alegría
Todo en este día ha sido una bendición.,Alegría
Hoy fue uno de esos días que no quieres que termine,Alegría
Siento una gran paz y felicidad en mi interior.,Alegría
Me siento mal,Tristeza
Me siento triste,Tristeza
Estoy triste,Tristeza
Estoy desanimado,Tristeza
Me siento sin animos,Tristeza
Hoy me siento melancolico,Tristeza
Nada parece ir bien,Tristeza
Tengo el ánimo bajo,Tristeza
Hoy es un día difícil,Tristeza
No puedo dejar de pensar en lo que perdí,Tristeza
El vacío que siento es difícil de ignorar.,Tristeza
Siento un peso en el corazón que no se va.,Tristeza
Es un dolor que no puedo explicar con palabras.,Tristeza
Nada parece llenar el vacío que siento últimamente,Tristeza
Este sentimiento de tristeza es abrumador.,Tristeza
Es difícil aceptar la pérdida y seguir adelante.,Tristeza
Es una tristeza profunda que parece no tener fin,Tristeza
Siento una tristeza que me consume poco a poco.,Tristeza
La pérdida de algo tan importante es dolorosa,Tristeza
Es como si el dolor no me dejara respirar.,Tristeza
El mundo parece tan oscuro cuando siento esto.,Tristeza
La tristeza me invade sin previo aviso,Tristeza
El dolor parece constante y difícil de soportar.,Tristeza
La soledad y tristeza se apoderan de mí,Tristeza
Es una tristeza profunda y persistente,Tristeza
Siento que me falta algo importante en mi vida.,Tristeza
Es una tristeza que no puedo dejar de sentir.,Tristeza
La tristeza parece no tener fin en mi corazón.,Tristeza
El dolor de esta pérdida es inigualable.,Tristeza
La vida parece sombría y sin color.,Tristeza
Todo se siente vacío y sin propósito.,Tristeza
Es difícil ver la luz en momentos así.,Tristeza
Hoy me siento solo y sin apoyo,Tristeza
Es una tristeza que me consume cada día,Tristeza
La pérdida dejó un vacío que no logro llenar.,Tristeza
Hoy me siento atrapado en un ciclo de dolor.,Tristeza
Es una tristeza que parece no tener fin,Tristeza
Nada parece darme consuelo en este momento.,Tristeza
Es un dolor constante que no se va.,Tristeza
Es difícil lidiar con esta tristeza,Tristeza
Siento que la tristeza me supera,Tristeza
Hoy es un día lleno de nostalgia y melancolía.,Tristeza
